Financing of the RUA 		 financing of the RUA 		 Score: 1.0000
Under what conditions 		 Rua for people below the poverty line 		 Score: 0.2300
Rewarding virtue 		 BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 Score: 0.2299
bad idea 		 Be 18 years old 		 Score: 0.2299
With more financial means because it will have losers 		 Do not take into account movable assets 		 Score: 0.2299
Take money where you can get it 		 Take into account not only income but also assets 		 Score: 0.2299
Young -25 years old 		 not 		 Score: 0.2299
Fight against tax evasion and stop tax giveaways (CICE) etc 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2299
Consider only the personal circumstances of the applicant 		 Unconditionally because it is universal 		 Score: 0.2298
Rights ok, but duties too 		 The grant is cocaine. 		 Score: 0.2298
Giving time to society 		 A Universal Income for all citizens 		 Score: 0.2298
Universal Stock Exchange Contribution 		 Progressive Inheritance Tax 		 Score: 0.2298
Work of convicted persons 		 Tax on the big salaries of company bosses and the rentiers of the Republic 		 Score: 0.2298
Giving time to society 		 activity = work 		 Score: 0.2298
The human condition should be enough 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2298
33% VAT 		 Tax on the big salaries of company bosses and the rentiers of the Republic 		 Score: 0.2298
Avoiding threshold effects 		 Perverse effect of tax funding? 		 Score: 0.2298
why is it shameful or offensive to ask for something in return for a RUA??? 		 for financing 		 Score: 0.2298
Permanent exclusion from the rua 		 Take into account the fact that you have dependent children 		 Score: 0.2298
The DNA bank a bank that insures on the life of humanity 		 How to finance 		 Score: 0.2298
Unconditional to every French citizen 		 Permanent exclusion from the rua 		 Score: 0.2298
TO ALL BUT WITH CONDITIONS AND TO BE CHECKED TOGETHER 		 How to redistribute in solidarity 		 Score: 0.2298
Gains in the fight against tax fraud 		 Financing of the RUA 		 Score: 0.2298
Gains in the fight against tax fraud 		 financing of the RUA 		 Score: 0.2298
FUSION 		 A safety net 		 Score: 0.2298
Make everyone aware of their rights more effectively and respect the choices they make 		 A social RUA 		 Score: 0.2297
The DNA bank a bank that insures on the life of humanity 		 taken into account for people who live in couples without being married but also for the reversionary pension! 		 Score: 0.2297
Work of convicted persons 		 operation 		 Score: 0.2297
Technology tax (robot) 		 the beneficiaries will be able to be helped financially but also administratively to open a micro enterprise 		 Score: 0.2297
CONTRIBUTING: the ONLY REAL WAY OUT 		 Making tax havens aware of National Solidarity 		 Score: 0.2297
Equal sharing of support between two divorced or separated parents 		 funding 		 Score: 0.2297
Avoiding threshold effects 		 Permanent exclusion from the rua 		 Score: 0.2297
Robots or robotic machines are already replacing employees in many companies... 		 One income, one job 		 Score: 0.2297
Conditions to be met 		 Family composition, income from work, rent due : The RUA would be calculated according to several criteria 		 Score: 0.2297
A central file for a fluid bureaucracy 		 Aid in return for work 		 Score: 0.2297
"Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Score: 0.2297
By taxing cannabis, after it is legalized. 		 Universal income means for everyone. 		 Score: 0.2297
To be taken into account 		 The Company pays 		 Score: 0.2296
alone (or alone) with a child with a disability ... 		 No conditions to benefit from it 		 Score: 0.2296
Get out of the 5/95 rule, i.e. 5% of the population living high 		 conditions for the universal activity income 		 Score: 0.2296
All persons below a certain threshold. 		 RU accumulation of seniority and dependent child 		 Score: 0.2296
A monthly update 		 To be combined with the needs 		 Score: 0.2296
Borrowing the first year, the money will automatically return to the state coffers in the following years as it is reinjected into the economy through the daily expenses of the French (VAT, fuel taxes, taxes, etc.) 		 Take into account the cost of housing 		 Score: 0.2296
The financing is to be imposed on companies that have installed automation in their activities. 		 Not just income, household expenses too... 		 Score: 0.2296
resources for all 		 The conditions for receiving the Universal Activity Income 		 Score: 0.2296
Resource requirements 		 activity in return for the rua 		 Score: 0.2296
The financing is to be imposed on companies that have installed automation in their activities. 		 For a new economic system based on the right to exist, not on the need to have a job 		 Score: 0.2296
Take into account specific problems 		 Make it simple! 		 Score: 0.2296
Universal 		 VAT 		 Score: 0.2295
activity = work 		 Agreed, but except for the case of disabled people (AAH, other allowances and aid for disabled people) and APL 		 Score: 0.2295
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Agreed, but except for the case of disabled people (AAH, other allowances and aid for disabled people) and APL 		 Score: 0.2295
CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 A Universal Income for all citizens 		 Score: 0.2295
Individual or joint treatment 		 Dependent child 		 Score: 0.2295
according to the resources of each entity, separately: couple, child, single person 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.2295
All persons below a certain threshold. 		 Work of convicted persons 		 Score: 0.2295
No Conditions 		 Amount 		 Score: 0.2295
Tracking down fraud and waste 		 Making tax havens aware of National Solidarity 		 Score: 0.2295
Regularly review the person's situation 		 Conditions to be met 		 Score: 0.2294
Universal 		 It must take everything into account 		 Score: 0.2294
remove benefits from families whose children are in foster care 		 supporting evidence of low income 		 Score: 0.2294
adapt +++ to differences and special cases 		 operation 		 Score: 0.2294
Unconditional to every French citizen 		 Land law 		 Score: 0.2294
I CAN FEEL THIS COUNTRY REGRESSING AS I SEE THE CLIMATE DETERIORATING. 		 Financing through the economy of simplification and the contribution of high incomes 		 Score: 0.2294
As an accompanying measure, allow everyone to convert their personal training account into a 		 Recognizing volunteer investment in public interest organizations 		 Score: 0.2294
the risks 		 against 		 Score: 0.2294
Suspend or cancel the RSA for people who commit or whose dependent children commit damage to public or private property 		 Limited RUA amount 		 Score: 0.2294
Work of convicted persons 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2294
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Allocation through tax return 		 Score: 0.2293
credited with the aid managed by the post office ... 		 To all persons undergoing an unwanted change of situation 		 Score: 0.2293
Automatic allocation 		 Proposal 		 Score: 0.2293
Condition to be met 		 A fair distribution, without discouraging counter-measures 		 Score: 0.2293
What do the apl and the aah have to do with the rua? 		 It must take everything into account 		 Score: 0.2293
Consideration of family situation 		 Justice please - allow everyone to live with a decent minimum given the sudden (not chosen) elements of their situation. 		 Score: 0.2293
When will we see a real project for a reasonable minimum wage? 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.2293
Participation fee 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.2293
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Universality Taking into account income and work periods 		 Score: 0.2293
Full automation and no activity 		 activity in return for the rua 		 Score: 0.2293
seamless processes 		 TO ALL BUT WITH CONDITIONS AND TO BE CHECKED TOGETHER 		 Score: 0.2293
to all since it will be universal without conditions .... 		 A tax-free UK! 		 Score: 0.2292
Proposal 		 Self-financing 		 Score: 0.2292
Take nothing into account 		 Proposal 		 Score: 0.2292
Participation fee 		 TAKE INTO ACCOUNT THE INCOME OF EACH PERSON, NOT THE COUPLE 		 Score: 0.2292
Recovering aid from an estate 		 have a low income 		 Score: 0.2292
resources for all 		 A compensatory Universal Activity Income 		 Score: 0.2292
Universal 		 Consider the big picture 		 Score: 0.2292
Unconditionally because it is universal 		 The rua should not include all the aids 		 Score: 0.2292
Concerns for the RUA 		 the conditions 		 Score: 0.2292
Universal 		 "Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 Score: 0.2292
Take into account specific problems 		 No conditions, just the fact of existing. 		 Score: 0.2291
activity in return for the rua 		 How to redistribute in solidarity 		 Score: 0.2291
REUNITE 		 a single base 		 Score: 0.2291
Condition to be met 		 conditions for the universal activity income 		 Score: 0.2291
Fight against tax evasion and stop tax giveaways (CICE) etc 		 How to redistribute in solidarity 		 Score: 0.2291
Work of convicted persons 		 RUA is all well and good, but there are more redundancies than hirings, even less when you are disabled, so the AAH and the APL or other housing assistance should not be included 		 Score: 0.2291
To be taken into account 		 just on income 		 Score: 0.2291
Recognizing volunteer investment in public interest organizations 		 merger of all social benefits 		 Score: 0.2291
against 		 Concerns for the RUA 		 Score: 0.2291
Increase the amounts according to the distance from the training centres 		 A minimum amount + a bonus/malus depending on the case 		 Score: 0.2291
A minimum amount + a bonus/malus depending on the case 		 Basic Income 		 Score: 0.2290
Developing the mobile application mesdroitssociaux.gouv.fr 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.2290
Proposal 		 A 0.5% increase in VAT could finance this solidarity effort. 		 Score: 0.2290
Senio 		 Proposal 		 Score: 0.2290
Control of rights 		 U.A.R. funding 		 Score: 0.2290
Integrate AUTOMATICITY into the allocation process 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.2290
increase in employers' contributions, end of the reduction in charges 		 Taxes on robots, gaffes... 		 Score: 0.2290
The human condition should be enough 		 Only considered the absolute poverty line 		 Score: 0.2290
infringement of the rights of the families of persons with disabilities 		 TAKE INTO ACCOUNT THE CONSTITUTION OF THE HOUSEHOLD AND ALL RESOURCES AND ASSETS 		 Score: 0.2290
Dependent child 		 Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Score: 0.2289
Census and approach 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2289
Equality between siblings 		 TAKE INTO ACCOUNT THE CONSTITUTION OF THE HOUSEHOLD AND ALL RESOURCES AND ASSETS 		 Score: 0.2289
how to apply for the SUP 		 Be realistic and act at the right time 		 Score: 0.2289
Universal Stock Exchange Contribution 		 All equal so same financial aid 		 Score: 0.2289
No strings attached as it will replace all social benefits... 		 moving towards a universal income 		 Score: 0.2289
Consider only the personal circumstances of the applicant 		 One income, one job 		 Score: 0.2289
duty of care 		 Make everyone aware of their rights more effectively and respect the choices they make 		 Score: 0.2289
according to the resources of each entity, separately: couple, child, single person 		 Take into account not only income but also assets 		 Score: 0.2289
Work of convicted persons 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.2289
No conditions, just the fact of existing. 		 A careful study of the living conditions for the payment of this income 		 Score: 0.2289
And how to manage the third party payment when the APL (or AL) is requested by the landlord? 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.2289
increase in employers' contributions, end of the reduction in charges 		 RSA funding 		 Score: 0.2289
RUA compatible with unemployment benefits 		 A careful study of the living conditions for the payment of this income 		 Score: 0.2289
Unconditionally because it is universal 		 How to apply for the rua during the universal national service 		 Score: 0.2289
Reinstate the ISF 		 Estate recovery 		 Score: 0.2289
RUA compatible with unemployment benefits 		 Self-employed: a monthly calculation 		 Score: 0.2289
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Obligation to perform a public interest mission in return 		 Score: 0.2289
Control of rights 		 Justice please - allow everyone to live with a decent minimum given the sudden (not chosen) elements of their situation. 		 Score: 0.2288
Students 		 Participation fee 		 Score: 0.2288
With more financial means because it will have losers 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.2288
It must take everything into account 		 equality of the republic, that the richest share with the poorest 		 Score: 0.2288
Take everything into account 		 Universal income 		 Score: 0.2288
Avoiding duplication 		 Unconditionally because it is universal 		 Score: 0.2287
Recovering aid from an estate 		 Equity of the produced wealth and redistribution, problems and mechanism of poverty 		 Score: 0.2287
No means test if it is to be universal. 		 A compensatory Universal Activity Income 		 Score: 0.2287
like the MPs, no criteria 		 Do not include the aah in the universal income 		 Score: 0.2287
Age 		 33% VAT 		 Score: 0.2287
"Transferring the competence ""scholarship"" from CROUS to the organization in charge of the RUA" 		 funding proposal 		 Score: 0.2287
Take everything into account 		 FINANCING 		 Score: 0.2287
Take everything into account 		 Financing 		 Score: 0.2287
Take everything into account 		 Financing 		 Score: 0.2287
Take everything into account 		 Universality and Funding 		 Score: 0.2287
When will we see a real project for a reasonable minimum wage? 		 Universality Taking into account income and work periods 		 Score: 0.2287
Automatic for all 		 just on income 		 Score: 0.2287
Rewarding virtue 		 Take into account the diversity of the realities and social difficulties of the recipients 		 Score: 0.2287
Unconditional to every French citizen 		 Fight against tax evasion and stop tax giveaways (CICE) etc 		 Score: 0.2286
No strings attached as it will replace all social benefits... 		 Universal Income for ALL 		 Score: 0.2286
No strings attached as it will replace all social benefits... 		 Universal income for all 		 Score: 0.2286
Kalissy06 		 Universal 		 Score: 0.2286
Regularly review the person's situation 		 Work of convicted persons 		 Score: 0.2286
CONTRIBUTING: the ONLY REAL WAY OUT 		 Dignity through work 		 Score: 0.2286
Condition to be met 		 "Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 Score: 0.2286
When will we see a real project for a reasonable minimum wage? 		 Why not solidarity vouchers? 		 Score: 0.2286
To be taken into account 		 activity = work 		 Score: 0.2286
Make everyone aware of their rights more effectively and respect the choices they make 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.2286
As an accompanying measure, allow everyone to convert their personal training account into a 		 Universal individual monthly wage 		 Score: 0.2286
Regularly review the person's situation 		 As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Score: 0.2285
No Conditions 		 Question not applicable because AAH beneficiaries should not be included in the RUA 		 Score: 0.2285
creative financing 		 To be taken into account 		 Score: 0.2285
creative financing 		 To be taken into account 		 Score: 0.2285
terms and conditions 		 Avoiding poverty and inflation. 		 Score: 0.2285
Terms and conditions 		 Avoiding poverty and inflation. 		 Score: 0.2285
terms and conditions 		 Avoiding poverty and inflation. 		 Score: 0.2285
terms and conditions 		 Avoiding poverty and inflation. 		 Score: 0.2285
Refocusing social support on nationals only 		 BE CAREFUL to control the expected decrease in the rate of redistribution and to avoid a windfall effect and the reinforcement of the welfare state. 		 Score: 0.2285
Dependent child 		 Development income 		 Score: 0.2285
do not include the APL in this reform 		 Housing subsidies and aah. 		 Score: 0.2285
Be careful to take all situations into account 		 Do not take the person's personal situation into account when calculating income (AAH) 		 Score: 0.2285
A fair distribution, without discouraging counter-measures 		 save money by eliminating undue benefits 		 Score: 0.2285
Technology tax (robot) 		 Take into account the income of the entire household 		 Score: 0.2284
Technology tax (robot) 		 Take into account the income of the entire household 		 Score: 0.2284
Technology tax (robot) 		 Take into account the income of the entire household 		 Score: 0.2284
Technology tax (robot) 		 Take into account the income of the entire household 		 Score: 0.2284
Equal sharing of support between two divorced or separated parents 		 Take into account the person's overall situation 		 Score: 0.2284
The grant is cocaine. 		 Take money where you can get it 		 Score: 0.2284
Conditions to be met 		 Concerns for the RUA 		 Score: 0.2284
Refocusing social support on nationals only 		 that Universal Income be taxable 		 Score: 0.2284
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Social redistribution annuity 		 Score: 0.2284
For all = simplification 		 universal income calculation 		 Score: 0.2284
The grant is cocaine. 		 Income tax return should include all aid received 		 Score: 0.2284
RUA for all without conditions 		 combine rights with duties 		 Score: 0.2284
CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 Universal income means for everyone. 		 Score: 0.2284
only condition = French citizen 		 Take into account the fact that you have dependent children 		 Score: 0.2283
Take everything into account 		 activity in return for the rua 		 Score: 0.2283
No means test if it is to be universal. 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2283
The grant is cocaine. 		 just on income 		 Score: 0.2283
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Not just income, household expenses too... 		 Score: 0.2283
Take into account unrecognized disabilities. 		 Universality Taking into account income and work periods 		 Score: 0.2283
To all persons undergoing an unwanted change of situation 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2283
counterpart 		 Only means-tested 		 Score: 0.2283
Unconditionally because it is universal 		 To all persons undergoing an unwanted change of situation 		 Score: 0.2283
The financing is to be imposed on companies that have installed automation in their activities. 		 UNIVERSAL INCOME (good idea or gas factory?) 		 Score: 0.2283
RUA for all without conditions 		 Avoiding poverty and inflation. 		 Score: 0.2283
"Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 A compensatory Universal Activity Income 		 Score: 0.2283
Rights ok, but duties too 		 By the tax paid by all 		 Score: 0.2283
No conditions, just the fact of existing. 		 Universality and Funding 		 Score: 0.2283
Condition to be met 		 for financing 		 Score: 0.2282
To be taken into account 		 Universality and Funding 		 Score: 0.2282
for new graduate students 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2282
Take into account specific problems 		 against 		 Score: 0.2282
With more financial means because it will have losers 		 should continue to be paid on a means-tested basis 		 Score: 0.2282
Regularly review the person's situation 		 duty of care 		 Score: 0.2282
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Equity of the produced wealth and redistribution, problems and mechanism of poverty 		 Score: 0.2282
End of the automatic right without compensation 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.2282
The human condition should be enough 		 Family solidarity before national solidarity 		 Score: 0.2282
No strings attached as it will replace all social benefits... 		 No Conditions 		 Score: 0.2282
remove benefits from families whose children are in foster care 		 Make it conditional on professional, social or health integration 		 Score: 0.2282
The grant is cocaine. 		 Obligation to perform a public interest mission in return 		 Score: 0.2281
Suspend or cancel the RSA for people who commit or whose dependent children commit damage to public or private property 		 Be an emancipated French citizen (no longer dependent) 		 Score: 0.2281
resources for all 		 UNIVERSITY 		 Score: 0.2281
Under what conditions 		 activity in return for the rua 		 Score: 0.2281
A minimum amount + a bonus/malus depending on the case 		 Donate 1000 euros to anyone over 18 years old 		 Score: 0.2281
Equal sharing of support between two divorced or separated parents 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.2281
Participation fee 		 A SMIC at 2000 and a RUA at 800! System of payment of salaries by the State 		 Score: 0.2281
Equal sharing of support between two divorced or separated parents 		 National solidarity that includes capital income 		 Score: 0.2281
IN THE LONG TERM... 		 Not just income, household expenses too... 		 Score: 0.2281
Take into account unrecognized disabilities. 		 Basic Income 		 Score: 0.2281
infringement of the rights of the families of persons with disabilities 		 A compensatory Universal Activity Income 		 Score: 0.2281
Restore coherence to all compulsory levies. 		 Perverse effect of tax funding? 		 Score: 0.2281
RUA for all without conditions 		 A compensatory Universal Activity Income 		 Score: 0.2281
No conditions, just the fact of existing. 		 Exclude disability from the scope of the RUA 		 Score: 0.2280
Consideration of family situation 		 Equity of the produced wealth and redistribution, problems and mechanism of poverty 		 Score: 0.2280
Rights ok, but duties too 		 Donate part of the aid in kind 		 Score: 0.2280
Conditions to be met 		 Automaticity 		 Score: 0.2280
Take money where you can get it 		 It's income so it's taxable 		 Score: 0.2280
Get out of the 5/95 rule, i.e. 5% of the population living high 		 Universality Taking into account income and work periods 		 Score: 0.2280
Operation by points by grouping together all the criteria of the existing aids 		 the conditions to be met 		 Score: 0.2280
No Conditions 		 No 		 Score: 0.2280
By taxing cannabis, after it is legalized. 		 Financing part of the RUA via an AIRBNB tax 		 Score: 0.2279
Restore leave Competency Assessment 		 Recoverable from the estate 		 Score: 0.2279
Ensuring a meaningful difference with the work 		 A "Citizen's VOICE Income" (VOICE / "Dream too"!) FOR EVERYBODY, rather than the RUA: implementation modalities, to reinvent/(re)enchant Work, our Society and our lives... 		 Score: 0.2279
CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 Self-financing 		 Score: 0.2279
Accompaniment and access to employment cannot be dissociated from the RUA 		 No Conditions 		 Score: 0.2279
The DNA bank a bank that insures on the life of humanity 		 Tax funding as usual. 		 Score: 0.2279
VAT 		 Income 		 Score: 0.2279
VAT 		 Income 		 Score: 0.2279
Reintegration 		 Universal income even without activity 		 Score: 0.2279
Fight against tax evasion and stop tax giveaways (CICE) etc 		 the beneficiaries will be able to be helped financially but also administratively to open a micro enterprise 		 Score: 0.2278
FUSION 		 Redistribution 		 Score: 0.2278
according to the resources of each entity, separately: couple, child, single person 		 No strings attached as it will replace all social benefits... 		 Score: 0.2278
Unconditional to every French citizen 		 An amount for everyone 		 Score: 0.2278
The DNA bank a bank that insures on the life of humanity 		 Why not solidarity vouchers? 		 Score: 0.2278
No strings attached as it will replace all social benefits... 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2278
Participation fee 		 Financing from the estate 		 Score: 0.2278
Take money where you can get it 		 Expenses 		 Score: 0.2278
Automatic for all 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.2278
CONTRIBUTING: the ONLY REAL WAY OUT 		 RUA for the autonomy of young people 		 Score: 0.2278
Senio 		 No, that's it. 		 Score: 0.2278
Resource requirements 		 Dignity through work 		 Score: 0.2277
You said universal! 		 all in the same boat 		 Score: 0.2277
The financing is to be imposed on companies that have installed automation in their activities. 		 Take into account the amounts of the rent or mortgage 		 Score: 0.2277
Family policy only leads to decadence 		 Recoverable from the estate 		 Score: 0.2277
Census and approach 		 Financing the Universal Activity Income through national solidarity 		 Score: 0.2277
my modus operandi of the rua 		 like the MPs, you have to manage yourself 		 Score: 0.2277
No strings attached as it will replace all social benefits... 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2277
resources for all 		 A Universal Activity Income to compensate for a lack of income 		 Score: 0.2277
Technology tax (robot) 		 Self-employed: a monthly calculation 		 Score: 0.2277
More control 		 RUA for the autonomy of young people 		 Score: 0.2276
like the MPs, you have to manage yourself 		 For a new economic system based on the right to exist, not on the need to have a job 		 Score: 0.2276
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 A social RUA 		 Score: 0.2276
Permanent exclusion from the rua 		 Households with more than 3 ineligible children 		 Score: 0.2276
do not include the APL in this reform 		 that Universal Income be taxable 		 Score: 0.2276
INFORM PEOPLE 		 A safety net 		 Score: 0.2276
"Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 Justice please - allow everyone to live with a decent minimum given the sudden (not chosen) elements of their situation. 		 Score: 0.2276
That an opinion of the Council of State may also be requested by the Human Rights Defender 		 How to apply for the rua during the universal national service 		 Score: 0.2276
Universal 		 To be taken into account 		 Score: 0.2276
only condition = French citizen 		 Universal income means for everyone. 		 Score: 0.2276
resources for all 		 RSA funding 		 Score: 0.2276
It must take everything into account 		 conditions for the universal activity income 		 Score: 0.2276
bad idea 		 INFORM PEOPLE 		 Score: 0.2275
Recognizing volunteer investment in public interest organizations 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2275
Unconditional to every French citizen 		 universal income calculation 		 Score: 0.2275
Increase the amounts according to the distance from the training centres 		 DO VOLUNTEER HOURS IN ASSOCIATIONS IN EXCHANGE FOR THE RUA 		 Score: 0.2275
TO ALL BUT WITH CONDITIONS AND TO BE CHECKED TOGETHER 		 It must take everything into account 		 Score: 0.2275
Considering treatment failures for AHA 		 RUA could move towards a negative tax principle 		 Score: 0.2275
Accompaniment and access to employment cannot be dissociated from the RUA 		 Take into account the diversity of the realities and social difficulties of the recipients 		 Score: 0.2275
Love of work 		 In the case of an unemployed person who does not look for a job, the RUA would be suspended or a compensatory work of a few hours would be required, except in exceptional cases (handicap...) 		 Score: 0.2275
Single with child 		 The RUA for all, regardless of income, from the age of 18 		 Score: 0.2275
State funding to let departments and cities provide exceptional aid 		 Not just income, household expenses too... 		 Score: 0.2274
EPICT 		 A social RUA 		 Score: 0.2274
Permanent exclusion from the rua 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2274
Quarterly reporting 		 Amount 		 Score: 0.2274
to all since it will be universal without conditions .... 		 universal income calculation 		 Score: 0.2274
Equal sharing of support between two divorced or separated parents 		 housing allowance 		 Score: 0.2274
For all = simplification 		 Continue to take into account actual costs 		 Score: 0.2274
Take everything into account 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2274
Work of convicted persons 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.2274
The DNA bank a bank that insures on the life of humanity 		 Proposal 		 Score: 0.2274
Control of rights 		 Proposal 		 Score: 0.2274
Take into account specific problems 		 Take into account the income of the entire household 		 Score: 0.2274
Take into account specific problems 		 Take into account the income of the entire household 		 Score: 0.2274
Take into account specific problems 		 Take into account the income of the entire household 		 Score: 0.2274
Take into account specific problems 		 Take into account the income of the entire household 		 Score: 0.2274
Restore coherence to all compulsory levies. 		 No Conditions 		 Score: 0.2274
All persons below a certain threshold. 		 Make everyone aware of their rights more effectively and respect the choices they make 		 Score: 0.2273
More control 		 Universal 		 Score: 0.2273
Reintegration 		 Take into account the diversity of the realities and social difficulties of the recipients 		 Score: 0.2273
duty of care 		 Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 Score: 0.2273
do not include the APL in this reform 		 INCOME MUST BE INDIVIDUAL AND INDIVIDUALIZED 		 Score: 0.2273
A minimum amount + a bonus/malus depending on the case 		 Universal income 		 Score: 0.2273
A monthly update 		 Ask the Ministry of Finance 		 Score: 0.2273
Modality: the act of being born 		 To be combined with the needs 		 Score: 0.2273
A central file for a fluid bureaucracy 		 Reintegration 		 Score: 0.2273
And why not two versions of the RUA ? one RU and one RUA 		 according to the resources of each entity, separately: couple, child, single person 		 Score: 0.2273
No means test if it is to be universal. 		 Make it conditional on professional, social or health integration 		 Score: 0.2273
No, that's it. 		 A social RUA 		 Score: 0.2273
All persons below a certain threshold. 		 Take into account the income of the entire household 		 Score: 0.2273
All persons below a certain threshold. 		 Take into account the income of the entire household 		 Score: 0.2273
All persons below a certain threshold. 		 Take into account the income of the entire household 		 Score: 0.2273
All persons below a certain threshold. 		 Take into account the income of the entire household 		 Score: 0.2273
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 Cap, reduce or abolish family allowances for more than 3 or 4 children. 		 Score: 0.2273
Conditions to be met 		 Rua for people below the poverty line 		 Score: 0.2273
The human condition should be enough 		 As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Score: 0.2272
alone (or alone) with a child with a disability ... 		 A minimum income from age 18 to 62 		 Score: 0.2272
Family policy only leads to decadence 		 Universality Taking into account income and work periods 		 Score: 0.2272
By abolishing the CICE. 		 IN THE LONG TERM... 		 Score: 0.2272
bad idea 		 look at the most recent situation 		 Score: 0.2272
The people for the people 		 Unconditional to every French citizen 		 Score: 0.2272
do not include the APL in this reform 		 Moving from a UCP to a Universal Income 		 Score: 0.2272
FUSION 		 No 		 Score: 0.2272
Quarterly reporting 		 Universality Taking into account income and work periods 		 Score: 0.2272
Gains in the fight against tax fraud 		 just on income 		 Score: 0.2272
according to the resources of each entity, separately: couple, child, single person 		 REUNITE 		 Score: 0.2272
Operation RU 		 Financing part of the RUA via an AIRBNB tax 		 Score: 0.2272
Accompaniment and access to employment cannot be dissociated from the RUA 		 A single body to manage household income 		 Score: 0.2272
infringement of the rights of the families of persons with disabilities 		 How to redistribute in solidarity 		 Score: 0.2272
Rights ok, but duties too 		 Universal activity income 		 Score: 0.2271
Rights ok, but duties too 		 universal activity income 		 Score: 0.2271
AAH 		 EPICT 		 Score: 0.2271
AAH 		 EPICT 		 Score: 0.2271
EPICT 		 Aah 		 Score: 0.2271
And why not two versions of the RUA ? one RU and one RUA 		 a single base 		 Score: 0.2271
Under what conditions 		 To all persons undergoing an unwanted change of situation 		 Score: 0.2271
The people for the people 		 Consideration of family situation 		 Score: 0.2271
terms and conditions 		 conditions for the universal activity income 		 Score: 0.2271
Terms and conditions 		 conditions for the universal activity income 		 Score: 0.2271
terms and conditions 		 conditions for the universal activity income 		 Score: 0.2271
terms and conditions 		 conditions for the universal activity income 		 Score: 0.2271
creative financing 		 Recoverable from the estate 		 Score: 0.2271
creative financing 		 Recoverable from the estate 		 Score: 0.2271
duty of care 		 RUA for the autonomy of young people 		 Score: 0.2271
Universal Stock Exchange Contribution 		 merger of all social benefits 		 Score: 0.2270
my modus operandi of the rua 		 Rights ok, but duties too 		 Score: 0.2270
UK 		 Land law 		 Score: 0.2270
Quarterly reporting 		 national solidarity + tax on financial transactions of investment banks 		 Score: 0.2270
The DNA bank a bank that insures on the life of humanity 		 Estate recovery 		 Score: 0.2270
